지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),합계 일조시간(hr),합계 일사량(MJ/m2),일 최심적설(cm),평균 전운량(1/10)
108,서울,2012-05-06,18.1,,3.2,31.9,6.1,996.2,12.4,23.37,,.4
108,서울,2012-05-07,18.5,,2.3,33.3,6.7,996.9,10.2,20.96,,2.5
108,서울,2012-05-08,20.8,,2.3,27.5,6.4,997,9,19.51,,3.8
108,서울,2012-05-09,20.7,,2.7,45.4,10.5,1001.8,10.7,21.08,,0
108,서울,2012-05-10,20.1,,2.8,45.1,10.3,1004.3,11.1,19.37,,2.4
108,서울,2012-05-11,16.2,,2.9,55.4,10.1,1006.4,.4,7.96,,8.9
108,서울,2012-05-12,17.1,,2.2,57.9,11.1,1004.4,1.8,12.1,,8.1
108,서울,2012-05-13,19.1,,2.2,53,11.3,1001.8,8.3,18.5,,7.3
108,서울,2012-05-14,16.1,6.5,1.8,78.8,14.3,999.5,0,1.97,,10
108,서울,2012-05-15,16.9,0,3.3,65.3,12.1,996,10.6,22.03,,4.5
108,서울,2012-05-16,16.6,0,3,58.6,10.8,994,7.6,18.89,,5.9
108,서울,2012-05-17,16.6,.5,2.6,56.6,10.3,993.7,7.9,15.79,,4
108,서울,2012-05-18,18.1,,2.5,51.4,9.9,1003.7,12.7,23.04,,2.1
108,서울,2012-05-19,19.5,,2.3,38,7.9,1005.7,11.6,20.56,,4.4
108,서울,2012-05-20,21.3,,2.1,39.1,9.6,1004.2,12.3,22.87,,0
108,서울,2012-05-21,23,,2.1,34.8,9.1,1006.5,12.4,22.87,,0
108,서울,2012-05-22,23.3,,2.4,34.6,9.4,1004.6,12.4,22.75,,3.9
108,서울,2012-05-23,22.1,,3,39.5,9.9,1002.1,10.4,22.34,,3.5
108,서울,2012-05-24,19.7,,2.2,53,12,1001,1.5,10.26,,6.9
108,서울,2012-05-25,20.5,,2.7,45.4,10.6,999.7,11.5,22.94,,3.3
108,서울,2012-05-26,19.8,,2.6,44.8,9.5,1000.1,8,17.15,,3.5
108,서울,2012-05-27,19.3,.3,2.7,65.6,14.5,1002.3,2.8,11.32,,5.9
108,서울,2012-05-28,20.9,.1,2.8,58,14,1005.9,3.3,13.7,,7.3
108,서울,2012-05-29,21.6,,2.9,40.8,10.3,1007.4,3,13.48,,6.8
108,서울,2012-05-30,20.7,0,2.4,44.4,10.7,1008.4,.6,8.81,,9.1
108,서울,2012-05-31,20.9,.2,2.7,58.6,14,1007,8.4,18.14,,3.8
108,서울,2012-06-01,21.4,,1.8,52.3,12.6,1005.6,6.1,17.15,,5.8
108,서울,2012-06-02,23.1,,2.5,44.8,12.3,1003.2,7.5,18.6,,6.8
108,서울,2012-06-03,23.3,,2.2,38.9,10.5,1001.8,12.7,23.42,,2.8
108,서울,2012-06-04,23.7,,2.5,35.1,9.8,1000.6,11.6,20.59,,3.9
108,서울,2012-06-05,22.5,0,3.5,62.6,16.8,997.6,10,18.06,,6
108,서울,2012-06-06,23,,3,62,16.8,994.6,8.2,19.51,,7.3
108,서울,2012-06-07,23,,2.4,62.8,17.1,994.9,5.5,16.96,,4.6
108,서울,2012-06-08,22.2,2,2.1,66.4,17.5,991.9,1.7,11.32,,8.4
108,서울,2012-06-09,24.2,,2,59.5,17.1,991.4,7.6,18.43,,5.6
108,서울,2012-06-10,23.7,,2.4,58.8,16.8,991.7,7.8,18.03,,6
108,서울,2012-06-11,23.2,,2.6,59.4,16.5,991.1,4.3,14.05,,6.8
108,서울,2012-06-12,22.6,.4,2.6,58.9,15.8,990.9,7.3,14.61,,5.9
108,서울,2012-06-13,23.4,,2.8,53.1,14.9,997,6.4,16.21,,5
108,서울,2012-06-14,24.8,,3.1,49.1,14.9,1001.5,9,21.66,,5.5
108,서울,2012-06-15,23.7,,3,52.8,15.3,999.9,4.7,15.34,,7.6
108,서울,2012-06-16,23.5,,3,61.3,17.2,996.9,10.2,19.07,,4.8
108,서울,2012-06-17,23.6,,3.2,52.5,14.4,1000.4,12.3,24.48,,2.9
108,서울,2012-06-18,24.9,,2.2,46.5,14.2,997.7,8.2,19.45,,7.3
108,서울,2012-06-19,26,,2.9,44.8,14.2,990.5,9.3,19.65,,3.8
108,서울,2012-06-20,25.4,,3.5,49.1,15.4,994.3,13,22.74,,2.1
108,서울,2012-06-21,25.7,,2.7,55.3,17.5,996.4,9.2,20.01,,3.4
108,서울,2012-06-22,24.3,0,2.7,61.4,18.2,999.1,3.6,15.05,,5.1
108,서울,2012-06-23,26.2,,2.2,55.8,18.3,997.7,7.5,18.28,,3.8
108,서울,2012-06-24,27.8,,2.3,48.3,17.5,995.6,5.4,15.48,,5.3
108,서울,2012-06-25,26.5,,4.2,40.5,13.6,999.1,10.9,21.95,,2.5
108,서울,2012-06-26,24.6,,4.6,44.9,13.4,1002.1,12.8,22.96,,5.1
108,서울,2012-06-27,24.8,,3.3,47.1,14.5,1002.5,9.4,20.95,,3
108,서울,2012-06-28,25.3,,2.2,50.4,15.9,1002.1,4.9,13.63,,6.5
108,서울,2012-06-29,25.9,20,2.3,60.4,19.5,998.2,4.8,13.62,,8.9
108,서울,2012-06-30,21.9,69.5,4.2,87.8,23,991.5,.1,3.2,,10
108,서울,2012-07-01,21.6,0,3,80.1,20.5,995.3,2,6.68,,8.5
108,서울,2012-07-02,24,,2.5,62.8,18.3,993,6.2,17.2,,7.3
108,서울,2012-07-03,22.7,25,1.5,78.1,21.4,990.5,3.2,7.06,,8.3
108,서울,2012-07-04,24.4,.3,3.2,79.8,24.1,993.8,1.6,10.52,,8.9
108,서울,2012-07-05,22.7,72,2.1,89.6,24.6,995.3,0,1.87,,10
108,서울,2012-07-06,20.9,102.5,3.2,88.8,21.8,989,0,2.97,,9.3
108,서울,2012-07-07,24.8,,1.7,62.1,18.7,993.8,12,22.23,,2.1
108,서울,2012-07-08,25.8,,2.5,64.5,21.1,996,13.1,23.18,,1.5
108,서울,2012-07-09,26.3,,2,64.1,21.5,996.4,6.7,18.07,,5.8
108,서울,2012-07-10,25.9,6.5,2.5,67.4,22.1,992.1,.7,7.96,,8.9
108,서울,2012-07-11,23.3,8,3,83.5,23.8,986.1,.8,5.08,,9.4
108,서울,2012-07-12,24.7,0,2.3,72.3,22.2,990.1,1,8.55,,9.5
108,서울,2012-07-13,26.1,76.5,2.2,76.1,25.4,989.7,2.6,11,,8.8
108,서울,2012-07-14,22.8,8,3.7,82.1,22.7,991.8,.3,7.05,,10
108,서울,2012-07-15,19.7,32.5,4.4,89.5,20.5,991.5,0,3.56,,10
108,서울,2012-07-16,21.7,2.5,1.9,80.3,20.6,999.6,.5,8.64,,9.1
108,서울,2012-07-17,25.5,0,2,70.5,22.8,1002.1,.3,10.77,,9.3
108,서울,2012-07-18,26.3,6,2.6,78.8,26.8,999.1,.8,6.86,,9.4
108,서울,2012-07-19,23.9,72.5,4.9,85.3,25.1,993.6,2.4,8.6,,9.6
108,서울,2012-07-20,25.6,1,2.3,73.6,23.8,999.2,7.3,15.51,,7.1
108,서울,2012-07-21,27.5,,1.6,67.4,24.3,999.9,6.8,15.92,,6
108,서울,2012-07-22,27.2,16.5,2.1,74.4,26.6,998.7,3.5,9.1,,7.5
108,서울,2012-07-23,27.6,1,4,73.9,27.1,999.5,1.7,8.83,,8.8
108,서울,2012-07-24,27.8,,3.2,71.9,26.5,1003.5,8.4,16.81,,6.8
108,서울,2012-07-25,27.9,,2.2,68,25.1,1003.9,10.6,20.67,,4.9
108,서울,2012-07-26,28.1,,2.4,63.4,23.6,1000.7,13,23.33,,2.4
108,서울,2012-07-27,27.9,,2.8,68,25.1,999.8,9.1,17.2,,4.1
108,서울,2012-07-28,28.5,,2.6,67.3,25.6,1000,8.4,16.95,,4.6
108,서울,2012-07-29,29.2,0,3.7,66.8,26.7,996.8,9.6,16.1,,5.5
108,서울,2012-07-30,28.4,18,4,72.3,27.8,996,5,11.85,,7.6
108,서울,2012-07-31,29,.1,2.5,66.1,26.1,997.8,6.4,15.02,,6.9
108,서울,2012-08-01,30.8,,2.5,56.8,24.7,997.7,9.8,17.27,,5.5
108,서울,2012-08-02,30.8,,3.7,53.6,23.5,999.4,11.7,18.09,,4.6
108,서울,2012-08-03,31.3,,3.2,51.9,23.3,1000.9,12.9,21.72,,3.5
108,서울,2012-08-04,31.7,,2.2,50.1,23,1000.5,11.3,21.67,,3
108,서울,2012-08-05,31.8,,2,51,23.4,997.7,12.2,20.35,,1.9
108,서울,2012-08-06,31.5,,2.4,54.1,24.7,996.2,9.4,15.26,,2.9
108,서울,2012-08-07,30.7,,3.2,48,20.9,998,9.2,17.56,,3
108,서울,2012-08-08,29.6,,2.9,51.6,21.1,997.4,9.7,18.15,,4
108,서울,2012-08-09,29.7,,2.2,63.5,25.8,996.1,8.5,17.46,,5.3
108,서울,2012-08-10,27.4,.3,1.9,69.4,25.2,996.4,.2,5.38,,8.9
108,서울,2012-08-11,27.7,,1.9,65,23.8,997,2.6,10.16,,5.9
108,서울,2012-08-12,25.5,17,2,80.3,26,994.3,0,4.96,,9.3
108,서울,2012-08-13,26.6,2,2.1,65,22.1,993.5,6.5,15.01,,6.8
108,서울,2012-08-14,26.7,15.5,2.9,64.3,22.1,997.9,6.9,15.87,,5.6
108,서울,2012-08-15,23.7,136.5,2.7,88,25.7,994.9,0,.9,,9.8
108,서울,2012-08-16,26,,1.6,68.8,22.6,1000.8,4.4,13.85,,6.8
108,서울,2012-08-17,27.5,0,2.5,74,26.9,1001.8,3.8,11.17,,7.1
108,서울,2012-08-18,27.2,2,2.5,80.3,28.9,1000.2,0,3.65,,9.5
108,서울,2012-08-19,27.9,5,4.9,75.8,28.3,997.5,1.9,8.16,,9.5
108,서울,2012-08-20,25.4,59.5,4.1,87.4,28.1,997.5,0,3.06,,10
108,서울,2012-08-21,25.3,137,2,85.4,27.3,999.1,.6,7.64,,9.5
108,서울,2012-08-22,22,17,1.9,80.5,21.1,1000.8,0,6.71,,9.4
108,서울,2012-08-23,23,.1,3.5,68.3,18.9,1004.9,1.8,9.53,,8.4
108,서울,2012-08-24,23.3,7.5,3.9,70,19.9,1005,.1,8.09,,9.3
108,서울,2012-08-25,25,11.5,2.5,80.1,25.1,1004.2,2.3,7.63,,8.5
108,서울,2012-08-26,27.5,0,1.9,72.3,26,1002.4,5.4,12.89,,6.1
108,서울,2012-08-27,28.5,,4,59.9,22.9,999.4,9.2,16.28,,5
108,서울,2012-08-28,26.1,13.5,7.5,69.5,23.1,983.6,0,1.02,,10
108,서울,2012-08-29,25.7,6,5.3,70.3,22.9,998.3,7,12.26,,7.8
108,서울,2012-08-30,21.4,34.5,3.3,85.8,21.9,999.3,0,1.52,,9.5
108,서울,2012-08-31,23.8,,2.8,65.6,19.2,1002.8,11.3,19.57,,3
108,서울,2012-09-01,25.2,,2.2,69,21.8,1003.2,8.2,16.07,,5.9
108,서울,2012-09-02,25,,2,65.1,20.2,1002.6,8.2,13.9,,3.9
